IntCode,latitude,longitude,AccOverTime
158,40.42810842244811,-79.9776838920673,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
159,40.42766892280591,-79.97772777043555,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0]"
160,40.426785051715264,-79.97781895668044,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
161,40.42722590626015,-79.97777602312637,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
162,40.426344179799436,-79.97786278800395,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
163,40.42858781570333,-79.97763594080638,"[1, 1, 1, 3, 1, 0, 0, 0, 4, 1, 2, 0, 2, 2]"
164,40.4258929654222,-79.9779089715811,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
165,40.42994193611568,-79.97750817269402,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
166,40.43038572497449,-79.97745544881009,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
167,40.45304294300521,-79.98472682854212,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
168,40.45197456702043,-79.98346033103553,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
169,40.45168467617715,-79.98311555154446,"[0, 0, 0, 0, 1, 0, 1, 0, 5, 0, 0, 0, 1, 1]"
170,40.451127623999305,-79.98245730524428,"[0, 0, 0, 3, 0, 3, 2, 1, 2, 1, 3, 3, 0, 0]"
171,40.451402120957106,-79.98278180042256,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]"
172,40.45235086617284,-79.98389956140356,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 1, 2, 1, 0]"
173,40.42941840683913,-79.97617755859986,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 1]"
174,40.42897684967658,-79.97622137972006,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
175,40.428038028435715,-79.97631436880431,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
176,40.4275884983099,-79.97634445018322,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 2, 0, 2]"
177,40.426706121503095,-79.97642941670014,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 0, 1, 2]"
178,40.42712913836464,-79.97638588496321,"[0, 0, 0, 0, 2, 0, 2, 3, 2, 0, 1, 5, 2, 1]"
179,40.42625951942014,-79.97648564307079,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0]"
180,40.425810911432,-79.97653910819696,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
181,40.42492317815829,-79.97665263667909,"[0, 0, 0, 1, 1, 0, 2, 1, 1, 1, 0, 0, 0, 1]"
182,40.42850577581179,-79.97626512528669,"[5, 2, 0, 1, 2, 1, 0, 0, 1, 5, 2, 1, 1, 0]"
183,40.42356398472892,-79.97675868890225,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
184,40.42987231261678,-79.97613414493172,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
185,40.43029990147006,-79.97603147128856,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
186,40.430757104390025,-79.97595941829032,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
187,40.45255076329185,-79.98263021612622,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
